Grand total/Total global #,Employment/Emploi #,Fishing and Farming/ Pêche et Agriculture #,Professional income/Professions libérales #,Sales (self-employed)/Ventes (travail indép.) #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Investment/Placement #,Pension/Pension #,Benefit/Bénéficiaire #,Others/Autre #,Province
3107340,1959890,44930,11940,9430,106620,203710,390530,240470,139830,Alberta
3717720,1977610,11990,24340,19860,198060,263680,713780,308630,199780,British Columbia
972540,543440,21080,4080,3120,36150,31840,188400,83760,60680,Manitoba
610120,328150,2690,1880,990,16860,13300,158380,63820,24060,New Brunswick
432920,226970,6590,1400,950,7140,6730,108740,58940,15450,Newfoundland
132420,66630,330,1780,100,4300,10740,25490,350,22700,Non resisdent 
745770,392250,5200,3050,1740,21460,26650,196380,64500,34550,Nova Scotia
32230,23350,30,110,10,790,460,2420,3690,1370,Northwest Territories
21620,14300,80,40,0,180,110,1100,5180,630,Nunavut
10493290,5765330,38940,75110,52970,505090,483510,1990850,988430,593080,Ontario
114890,63970,2900,330,180,3540,3390,27310,9690,3570,Prince Edward Island
6520250,3530150,21530,50570,18840,247240,257740,1487530,628120,278530,Quebec
843350,464170,34250,2630,2100,31340,47110,143640,74310,43810,Saskatchewan
28010,18630,40,160,30,1540,940,3600,2330,750,Yukon